businessZones,city,companyFullName,companyShortName,companySize,createTime,district,education,industryField,industryLables,jobNature,positionId,salary,workYear
,厦门,厦门今立方科技有限公司,Jcubing,15-50人,2018/5/22 11:16,集美区,本科,"移动互联网,企业服务",[],全职,4594865,6k-10k,1-3年
,厦门,厦门科易网科技有限公司,科易网,150-500人,2018/5/15 8:56,海沧区,本科,"移动互联网,企业服务",[],全职,3586827,4k-6k,不限
,厦门,东方加慧（北京）教育科技有限公司,东方加慧,150-500人,2018/5/21 16:10,湖里区,大专,"教育,电子商务",[],全职,4602096,4k-8k,1-3年
,厦门,厦门美图之家科技有限公司,美图公司,2000人以上,2018/5/16 16:02,思明区,本科,"移动互联网,硬件",[],全职,3917580,10k-20k,1-3年
,厦门,厦门美图之家科技有限公司,美图公司,2000人以上,2018/5/7 19:33,思明区,本科,"移动互联网,硬件",[],全职,3992225,3k-4k,不限
,厦门,厦门美图之家科技有限公司,美图公司,2000人以上,2018/5/7 19:33,思明区,本科,"移动互联网,硬件",[],全职,3739853,5k-8k,1-3年
"['西门', '翠柏路', '南门']",宁波,宁波邻家网络科技有限公司,草料二维码,50-150人,2018/5/23 8:46,海曙区,本科,"移动互联网,其他","['金融', '产品经理', '大数据', '数据挖掘', '数据运营']",全职,4402930,12k-24k,1-3年
,宁波,宁波萌牙电子商务有限公司,萌牙家,15-50人,2018/5/22 21:06,鄞州区,本科,"电子商务,移动互联网",[],全职,4168213,9k-12k,不限
"['陈婆渡', '首南', '高教园区']",宁波,宁波知微瑞驰信息科技有限公司,知微,15-50人,2018/5/21 18:11,鄞州区,本科,"社交网络,企业服务","['企业服务', '商业']",全职,2067292,3k-4k,不限
,宁波,宁波萌牙电子商务有限公司,萌牙家,15-50人,2018/5/22 11:18,鄞州区,本科,"电子商务,移动互联网","['电商', '数据仓库', '产品经理', '用户研究', '需求分析', '商业']",全职,4476644,5k-9k,应届毕业生
,宁波,宁波萌牙电子商务有限公司,萌牙家,15-50人,2018/5/22 11:18,鄞州区,本科,"电子商务,移动互联网",[],全职,4476634,5k-9k,应届毕业生
,珠海,北京金山软件有限公司,金山办公软件,2000人以上,2018/5/23 12:00,香洲区,大专,移动互联网,"['金融', '电商', '运营', 'SPSS']",全职,4029391,13k-26k,3-5年
